team_code,name,shirt_name,position,date_of_birth,club,shirt_number,is_called_up
MEX,,,,,,,
RSA,,,,,,,
KOR,,,,,,,
CZE,,,,,,,
CAN,,,,,,,
BIH,,,,,,,
QAT,,,,,,,
SUI,,,,,,,
BRA,,,,,,,
MAR,,,,,,,
HAI,,,,,,,
SCO,,,,,,,
USA,,,,,,,
PAR,,,,,,,
AUS,,,,,,,
TUR,,,,,,,
GER,,,,,,,
CUW,,,,,,,
CIV,,,,,,,
ECU,,,,,,,
NED,,,,,,,
JPN,,,,,,,
SWE,,,,,,,
TUN,,,,,,,
BEL,,,,,,,
EGY,,,,,,,
IRN,,,,,,,
NZL,,,,,,,
FRA,,,,,,,
SEN,,,,,,,
IRQ,,,,,,,
NOR,,,,,,,
ARG,,,,,,,
ALG,,,,,,,
AUT,,,,,,,
JOR,,,,,,,
POR,,,,,,,
COD,,,,,,,
UZB,,,,,,,
COL,,,,,,,
ENG,,,,,,,
CRO,,,,,,,
GHA,,,,,,,
PAN,,,,,,,